

 ********* 2018-05-06 18:50:41 Duration: 00:00:15 *********
---------- SCRIPT CALLS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
     9,576   9,576,562   9,576,562   9,576,562          1  on.service.onapiJSBinding/createShoppingCart.cwOnJsProvider
     9,568   9,568,983   9,568,983   9,568,983          1  on.service.createShoppingCart
     9,568   9,568,936   9,568,936   9,568,936          1  cwl_on.createShoppingCart
     8,222      54,455     124,441      27,614        151  dataorder.service.addOrderItem
     8,219      54,433     124,420      27,590        151  cwt_do.api.addOrderItemHandler
     8,214      54,397     124,387      27,548        151  cwt_do.api.orderClassUI.addOrderItem
     4,343      28,764      62,932          11        151  cwt_do.api.orderClassUI.createItemRelations
     4,260      27,667      61,887         667        154  cwt_do.ClsDataOrderHelperUI.saveBasket
     2,529      16,320      75,964           6        155  cwt_do.ClsDataOrderHelperUI.priceBasket
     1,218       1,316      47,751         473        926  cwt_do.api.orderClassUI.mapBasketItemDoc2OrderItem
       940     235,229     925,604         651          4  cwt_do.api.orderClassUI.toOrder
       937     234,480     924,793          62          4  cwt_do.api.orderClassUI.getOrderItems
       791       5,243      24,408       3,755        151  cwt_do.api.orderClassUI.addProductOfferingToOrder
       757       5,016      24,191       3,584        151  cwt_do.api.orderClassUI.addPOtoOrder
       742       4,913      23,931       3,510        151  cwt_do.ClsDataOrderHelperUI.addItem
       702       4,654      22,388       3,295        151  cwt_do.ClsDataOrderHelperUI.addBasketItem
       649         701      45,902         136        926  cwt_do.api.orderClassUI.findBasketItemCharacteristics
       328         141       1,256          44      2,324  cwt_do.ClsDataOrderHelperUI.addRelation
       284     284,410     284,410     284,410          1  security.loginJava
       284     284,392     284,392     284,392          1  security.login
       187         621       7,537          93        302  cwt_do.api.orderClassUI.findBasketItemCharges
       167          38         357          21      4,348  eoc_commons.getBaseCatalogItemType
       162     162,411     162,411     162,411          1  security.getUserProfile
       160     160,875     160,875     160,875          1  security.getUserProfileByKey
       146     146,306     146,306     146,306          1  cwl_on.populateONItemsFromDataOrder
       141      70,780     132,579       8,982          2  cwt_do.new_cwt_do.dataOrder.getHelper
       141      70,773     132,570       8,976          2  cwt_do.getDOHelper
       140      70,394     132,202       8,586          2  cwt_do.ClsDataOrderHelperUI.initial
       129      32,488      55,570       5,732          4  cwt_do.ClsDataOrderHelperUI.save
       125         419       1,153          76        300  cwt_do.refreshPOAfterCreateOIRelation
       125      41,725      55,939      22,031          3  cwt_do.api.orderClassUI.save
       121     121,067     121,067     121,067          1  cwl_security.login
       112         136       1,998          11        828  cwt_do.copyChargeAttributes
       110         142         735          85        775  cwt_do.setInitialState
       106      53,348     104,832       1,864          2  cwt_do.getBasketById
       101          50         197          31      2,023  cwt_do.ClsDataOrderHelperUI.isItemLogicalOffer
        97          48         195          30      2,023  cwt_do.ClsDataOrderHelperUI.isItemLogicalType
        96      48,170      94,630       1,711          2  cwt_do.readBasketByIdFromCache
        93         101         297          59        926  cwt_do.api.orderClassUI.findBasketItemRelations
        72          10         105           5      6,650  cwt_do.fixItemRelationId
        46          60         611          32        775  cwt_do.getInitialState
        43          69         662          51        624  cwt_do.addIncludeRelation
        42          16         571           9      2,628  cwt_do.getClsCatalogTypes
        39          50         175          19        775  cwt_do.getOwnertPO
        39          36         123          25      1,076  cwt_do.ClsDataOrderHelperUI.getTargetRelationsForItem
        29           0          19           0    121,978  security.data.privilege.cwGetStructId
        24           5          69           2      4,650  eoc_commons.Constants
        24       4,016      11,355         721          6  api_common.publish
        23         155       2,408         103        153  cwt_do.getCatalogHelper
        22       5,724      21,053          63          4  cwt_do.new_cwt_do.dataOrder.saveOrder
        21       4,319      11,744       1,294          5  api_common.executeGet
        21          22         168          19        926  cwt_do.ClsDataOrderHelperUI.getSourceRelationsForItem
        19           6         115           0      3,008  eoc_commons.checkBaseCatalogItemType
        19         125       2,380          44        155  cwt_do.getClsInterface
        17          21          69          14        828  cwt_do.api.orderClassUI.setNameAndDescription
        17       5,689      11,755       1,561          3  security.getGroupPrivilegesByKey
        16          17         181          12        926  cwt_do.api.orderClassUI.findRelatedObjectsBySource
        16       5,533       9,901       1,349          3  cwl_om.scheduledOrderProcess.start.evaluate.cwOnProcActBefore
        16         107         386          84        151  dataorder.service.afterAddOrderItem
        16       5,341      11,314       1,292          3  cwl_security.getGroupPrivilegesByKey
        15       5,328      11,303       1,279          3  cwl_security.getGroupPrivileges
        14       4,705       7,487       1,311          3  cwl_om.processScheduledOrder
        13       6,987      13,902          71          2  cwt_do.ClsDataOrderHelperUI.loadItems
        13       6,925      13,814          37          2  cwt_do.ClsDataOrderHelperUI.remapGUIDs
        13          88         362          68        151  cwl_fullStack.afterAddItemHandler
        12      12,848      12,848      12,848          1  cwt_do.ClsDataOrderHelperUI.recalculateCalculatedValuesInBasket
        11          14          44           8        775  cwt_do.doCatalogTypeConfig.isProduct
        10           7         185           2      1,376  cwt_do.ClsDataOrderHelperUI.getObjectById
        10       5,142      10,163         120          2  cwt_do.cloneBasket
        10      10,245      10,245      10,245          1  cwt_do.createOrderClassInstance
         9          65         173          50        151  cwt_do.api.orderClassUI.setPOOINotes
         9       9,906       9,906       9,906          1  cwt_do.api.orderClassUI.init
         9           7          26           4      1,247  cwt_do.doCatalogTypeConfig.isService
         8           9          56           2        926  cwt_do.api.orderClassUI.mapPOOIDocNotesToOrderItem
         8       8,363       8,363       8,363          1  cwt_do.getOrderById
         7       7,710       7,710       7,710          1  dataorder.service.createOrder
         7       7,689       7,689       7,689          1  cwt_do.api.createOrderHandler
         7          49         150          35        150  cwt_do.api.orderClassUI.existsTargetRelation
         7          24         103           3        302  cwt_do.api.orderClassUI.getAccountId
         7       7,257       7,257       7,257          1  on.service.validateRequestElements
         7          46          77          38        151  dataorder.service.beforeAddOrderItem
         6           4          35           3      1,558  performanceUtils.getObject
         5           2         121           1      2,153  cwt_do.getEocRelationsHandling
         5       1,149       1,662         986          5  cwl_dbqueue.queueListenerThread
         5          18         249           2        302  cwt_do.api.orderClassUI.getSiteId
         5           2          13           1      2,023  cwt_do.getLogicalItemType
         5       5,455       5,455       5,455          1  cwt_do.cloneOrder
         5           6          17           4        828  cwt_do.api.orderClassUI.setExternalIDs
         5          35         381          25        151  eoc_commons.validateProductOfferingItem
         5          34          65          29        151  cwt_do.api.beforeAddItemHandler
         5           2          22           0      2,175  cwt_dict.isOneOf
         5       5,143       5,143       5,143          1  cwt_do.api.orderClassUI.loadItemsFromServiceRegistry
         5       5,117       5,117       5,117          1  cwt_on_cim_ext.getExistingAccountServices
         5           6          62           5        776  performanceUtils.putObject
         4          32         159          24        151  cwl_on.mapOnExtendedOrderItem2DoOrderItem.action-770072745.cwOnItemConversion
         4           2          43           0      2,138  eoc_commons.isFault
         4           6          24           3        775  cwt_do.doCatalogTypeConfig.getProductTypes
         4          31          68          16        151  cwl_on.getRelatedItemsFromItem
         4       4,677       4,677       4,677          1  cwt_sr.getProductHelper
         4       4,633       4,633       4,633          1  cwtsr_Lib.getProduct
         4          30         230          20        150  checkCommunityPO/$g/1368158400
